Name;Name2;Name3;;Stadt;Land
Ege Üniversitesi;Botanik Bahcesi;& Herbaryum;;Bornova-Izmir;TÜRKEI
Botanischer Garten;Im Eichholz;;;Grüningen;SCHWEIZ
Hortus Botanicus;Academiae Sci. Bulgaricae;;;Sofia;BULGARIA
Botanischer Garten für;Alpenpflanzen & Wildpflanzen;Herrn Th. Egli-Brenn;;Ennetbühl / SG;SCHWEIZ
Hortus plantarum medicarum;Facultatis pharmaceuticae;Universitatis Comenianae;;Bratislava 3;SLOVAKIA
Longwood Gardens;;;;Kennett Square , PA. 19348-0501;U.S.A.
Botanischer Garten;der Universität Basel;;;Basel;SCHWEIZ
Quail Botanic Gardens;Foundation Inc.;P.O.BOX 230005;;Encinitas,CA. 92023-0005;U.S.A.
Botanicni vrt Univerze;v Ljubiljani;;;Ljubljana;SLOVENIJA
Pamirensis Hortus Botanicus;;;;Dushanbe;Republic of Tajikistan
Jardin de Aclimatacion;de la Orotava;;;Puerto de la Cruz / Tenerife;SPAIN / CANARY ISLANDS
Alpengarten Zenz;Alpin.Botanische Pflanzensammlung;;;Grambach;ÖSTERREICH
Botanischer Garten;der Stadt;;;Altenburg;Deutschland
Donneko Botanical Garden;;;;Seogwipo Jejudo;Republic of Korea
Jardin Botanico;Universitario Maracay (JABUM);;;Maracay;VENEZUELA
Garden of Medicinal Plants;Department of Pharmacognosy;Jagiellonian University;;Krakow;POLAND
Hortus Botanicus Mongolia;Botanical Garden Institute of Botany;Mongolian Academy of Sciences;;Ulaanbaatar 51 (Ulan-Bator);MONGOLIA
Giardini Botanici Hanbury;Laboratorio semi;Corso Montecarlo 43;;Ventimiglia;ITALY
Alpine Botanical Garden of Campo Imperatore;DIPART. DI SCIENZE AMBIENTALI;Universita' degli Studi dell' Aquila;;L'Aquila;ITALY
Istituto ed Orto Botanico;Hanbury;Universita' degli studi;;Genova;ITALY
